OMNICARGO | SUZANO FAST DELIVERY — RESUMO DA OPERAÇÃO: FRETE COBRADO x FRETE A PAGAR (por rota e veículo),,,,,,,,,,,,,,,,,,,,,,
Origem,Destino,Viagens/mês,KM,Pedágio,FIORINO,,,VAN,,,3/4,,,TOCO,,,TRUCK,,,CARRETA,,
,,,,,Nosso Frete,A pagar,Sobra,Nosso Frete,A pagar,Sobra,Nosso Frete,A pagar,Sobra,Nosso Frete,A pagar,Sobra,Nosso Frete,A pagar,Sobra,Nosso Frete,A pagar,Sobra
GUARULHOS,SAO PAULO,37,25,,R$ 535,R$ 320,R$ 215,R$ 750,R$ 450,R$ 300,R$ 835,R$ 500,R$ 335,R$ 920,R$ 550,R$ 370,R$ 1.500,R$ 900,R$ 600,R$ 1.835,R$ 1.100,R$ 735
GUARULHOS,SAO BERNARDO DO CAMPO,8,40,,R$ 535,R$ 320,R$ 215,R$ 750,R$ 450,R$ 300,R$ 835,R$ 500,R$ 335,R$ 920,R$ 550,R$ 370,R$ 1.500,R$ 900,R$ 600,R$ 2.000,R$ 1.200,R$ 800
GUARULHOS,CAMPINAS,"7,67",90,R$ 60,R$ 635,R$ 380,R$ 255,R$ 1.050,R$ 630,R$ 420,R$ 1.100,R$ 660,R$ 440,R$ 1.185,R$ 710,R$ 475,R$ 2.065,R$ 1.240,R$ 825,R$ 2.585,R$ 1.550,R$ 1.035
GUARULHOS,SANTOS,"4,33",95,R$ 60,R$ 635,R$ 380,R$ 255,R$ 1.050,R$ 630,R$ 420,R$ 1.100,R$ 660,R$ 440,R$ 1.185,R$ 710,R$ 475,R$ 2.065,R$ 1.240,R$ 825,R$ 2.585,R$ 1.550,R$ 1.035
GUARULHOS,SAO CAETANO DO SUL,"3,67",30,,R$ 535,R$ 320,R$ 215,R$ 750,R$ 450,R$ 300,R$ 835,R$ 500,R$ 335,R$ 920,R$ 550,R$ 370,R$ 1.500,R$ 900,R$ 600,R$ 1.835,R$ 1.100,R$ 735
GUARULHOS,SUMARE,"3,33",105,R$ 60,R$ 720,R$ 430,R$ 290,R$ 1.050,R$ 630,R$ 420,R$ 1.185,R$ 710,R$ 475,R$ 1.270,R$ 760,R$ 510,R$ 2.150,R$ 1.290,R$ 860,R$ 2.915,R$ 1.750,R$ 1.165
GUARULHOS,COTIA,"2,67",55,,R$ 585,R$ 350,R$ 235,R$ 920,R$ 550,R$ 370,R$ 835,R$ 500,R$ 335,R$ 920,R$ 550,R$ 370,R$ 1.500,R$ 900,R$ 600,R$ 2.000,R$ 1.200,R$ 800
GUARULHOS,SANTA BARBARA D'OESTE,"2,33",125,R$ 70,R$ 760,R$ 455,R$ 305,R$ 1.145,R$ 685,R$ 460,R$ 1.290,R$ 770,R$ 520,R$ 1.370,R$ 820,R$ 550,R$ 2.260,R$ 1.355,R$ 905,R$ 3.375,R$ 2.025,R$ 1.350
GUARULHOS,PIEDADE,"2,33",130,R$ 45,R$ 740,R$ 443,R$ 298,R$ 1.125,R$ 673,R$ 453,R$ 1.245,R$ 745,R$ 500,R$ 1.325,R$ 795,R$ 530,R$ 2.200,R$ 1.318,R$ 883,R$ 3.270,R$ 1.963,R$ 1.308
GUARULHOS,INDAIATUBA,2,100,R$ 60,R$ 635,R$ 380,R$ 255,R$ 1.050,R$ 630,R$ 420,R$ 1.100,R$ 660,R$ 440,R$ 1.185,R$ 710,R$ 475,R$ 2.065,R$ 1.240,R$ 825,R$ 2.585,R$ 1.550,R$ 1.035
GUARULHOS,DIADEMA,2,45,,R$ 535,R$ 320,R$ 215,R$ 750,R$ 450,R$ 300,R$ 835,R$ 500,R$ 335,R$ 920,R$ 550,R$ 370,R$ 1.500,R$ 900,R$ 600,R$ 2.000,R$ 1.200,R$ 800
GUARULHOS,PAULINIA,2,105,R$ 70,R$ 730,R$ 435,R$ 295,R$ 1.060,R$ 635,R$ 425,R$ 1.205,R$ 720,R$ 485,R$ 1.290,R$ 770,R$ 520,R$ 2.175,R$ 1.305,R$ 870,R$ 2.960,R$ 1.775,R$ 1.185
GUARULHOS,VALINHOS,2,85,R$ 60,R$ 635,R$ 380,R$ 255,R$ 1.050,R$ 630,R$ 420,R$ 1.100,R$ 660,R$ 440,R$ 1.185,R$ 710,R$ 475,R$ 2.065,R$ 1.240,R$ 825,R$ 2.585,R$ 1.550,R$ 1.035
GUARULHOS,AGUAI,"1,67",200,R$ 80,R$ 1.070,R$ 640,R$ 430,R$ 1.320,R$ 790,R$ 530,R$ 1.470,R$ 880,R$ 590,R$ 1.555,R$ 930,R$ 625,R$ 2.365,R$ 1.420,R$ 945,R$ 4.500,R$ 2.700,R$ 1.800
GUARULHOS,FERRAZ DE VASCONCELOS,"1,67",30,,R$ 535,R$ 320,R$ 215,R$ 750,R$ 450,R$ 300,R$ 835,R$ 500,R$ 335,R$ 920,R$ 550,R$ 370,R$ 1.500,R$ 900,R$ 600,R$ 1.835,R$ 1.100,R$ 735
GUARULHOS,MOGI DAS CRUZES,"1,67",40,,R$ 535,R$ 320,R$ 215,R$ 750,R$ 450,R$ 300,R$ 835,R$ 500,R$ 335,R$ 920,R$ 550,R$ 370,R$ 1.500,R$ 900,R$ 600,R$ 2.000,R$ 1.200,R$ 800
GUARULHOS,GUARATINGUETA,"1,33",180,R$ 60,R$ 1.050,R$ 630,R$ 420,R$ 1.300,R$ 780,R$ 520,R$ 1.435,R$ 860,R$ 575,R$ 1.520,R$ 910,R$ 610,R$ 2.315,R$ 1.390,R$ 925,R$ 4.415,R$ 2.650,R$ 1.765
GUARULHOS,GUARUJA,"1,33",105,R$ 60,R$ 720,R$ 430,R$ 290,R$ 1.050,R$ 630,R$ 420,R$ 1.185,R$ 710,R$ 475,R$ 1.270,R$ 760,R$ 510,R$ 2.150,R$ 1.290,R$ 860,R$ 2.915,R$ 1.750,R$ 1.165
GUARULHOS,SOROCABA,"1,33",110,R$ 50,R$ 715,R$ 425,R$ 290,R$ 1.045,R$ 625,R$ 420,R$ 1.170,R$ 700,R$ 470,R$ 1.255,R$ 750,R$ 505,R$ 2.125,R$ 1.275,R$ 850,R$ 2.875,R$ 1.725,R$ 1.150
GUARULHOS,CARAGUATATUBA,"1,33",170,R$ 55,R$ 1.050,R$ 628,R$ 423,R$ 1.300,R$ 778,R$ 523,R$ 1.430,R$ 855,R$ 575,R$ 1.515,R$ 905,R$ 610,R$ 2.305,R$ 1.383,R$ 923,R$ 4.395,R$ 2.638,R$ 1.758
GUARULHOS,SAO JOSE DOS CAMPOS,"1,33",80,R$ 50,R$ 630,R$ 375,R$ 255,R$ 965,R$ 575,R$ 390,R$ 1.005,R$ 600,R$ 405,R$ 1.085,R$ 650,R$ 435,R$ 1.960,R$ 1.175,R$ 785,R$ 2.545,R$ 1.525,R$ 1.020
GUARULHOS,MONTE MOR,"1,33",110,R$ 60,R$ 720,R$ 430,R$ 290,R$ 1.050,R$ 630,R$ 420,R$ 1.185,R$ 710,R$ 475,R$ 1.270,R$ 760,R$ 510,R$ 2.150,R$ 1.290,R$ 860,R$ 2.915,R$ 1.750,R$ 1.165
GUARULHOS,IBIUNA,1,100,R$ 30,R$ 610,R$ 365,R$ 245,R$ 1.025,R$ 615,R$ 410,R$ 1.050,R$ 630,R$ 420,R$ 1.135,R$ 680,R$ 455,R$ 1.990,R$ 1.195,R$ 795,R$ 2.460,R$ 1.475,R$ 985
GUARULHOS,RIBEIRAO PIRES,1,40,,R$ 535,R$ 320,R$ 215,R$ 750,R$ 450,R$ 300,R$ 835,R$ 500,R$ 335,R$ 920,R$ 550,R$ 370,R$ 1.500,R$ 900,R$ 600,R$ 2.000,R$ 1.200,R$ 800
